Date,Pressure,Z,ProductionRate,CumProduction
1/31/2018,3000,0.9,2000000,2000000
2/28/2018,2974.576271,0.899152542,1902458.849,3902458.849
3/31/2018,2949.152542,0.898305085,1809674.836,5712133.685
4/30/2018,2923.728814,0.897457627,1721415.953,7433549.638
5/31/2018,2898.305085,0.896610169,1637461.506,9071011.144
6/30/2018,2872.881356,0.895762712,1557601.566,10628612.71
7/31/2018,2847.457627,0.894915254,1481636.441,12110249.15
8/31/2018,2822.033898,0.894067797,1409376.179,13519625.33
9/30/2018,2796.610169,0.893220339,1340640.092,14860265.42
10/31/2018,2771.186441,0.892372881,1275256.303,16135521.73
11/30/2018,2745.762712,0.891525424,1213061.319,17348583.05
12/31/2018,2720.338983,0.890677966,1153899.621,18502482.67
1/31/2019,2694.915254,0.889830508,1097623.272,19600105.94
2/28/2019,2669.491525,0.888983051,1044091.554,20644197.49
3/31/2019,2644.067797,0.888135593,993170.6076,21637368.1
4/30/2019,2618.644068,0.887288136,944733.1055,22582101.21
5/31/2019,2593.220339,0.886440678,898657.9282,23480759.13
6/30/2019,2567.79661,0.88559322,854829.8639,24335589
7/31/2019,2542.372881,0.884745763,813139.3195,25148728.32
8/31/2019,2516.949153,0.883898305,773482.0469,25922210.36
9/30/2019,2491.525424,0.883050847,735758.8823,26657969.25
10/31/2019,2466.101695,0.88220339,699875.4982,27357844.74
11/30/2019,2440.677966,0.881355932,665742.1674,28023586.91
12/31/2019,2415.254237,0.880508475,633273.5388,28656860.45
1/31/2020,2389.830508,0.879661017,602388.4238,29259248.87
2/29/2020,2364.40678,0.878813559,573009.5937,29832258.47
3/31/2020,2338.983051,0.877966102,545063.5861,30377322.05
4/30/2020,2313.559322,0.877118644,518480.5213,30895802.58
5/31/2020,2288.135593,0.876271186,493193.9279,31388996.5
6/30/2020,2262.711864,0.875423729,469140.5762,31858137.08
7/31/2020,2237.288136,0.874576271,446260.3203,32304397.4
8/31/2020,2211.864407,0.873728814,424495.9477,32728893.35
9/30/2020,2186.440678,0.872881356,403793.036,33132686.38
10/31/2020,2161.016949,0.872033898,384099.8172,33516786.2
11/30/2020,2135.59322,0.871186441,365367.0481,33882153.25
12/31/2020,2110.169492,0.870338983,347547.8869,34229701.14
1/31/2021,2084.745763,0.869491525,330597.7764,34560298.91
2/28/2021,2059.322034,0.868644068,314474.3326,34874773.24
3/31/2021,2033.898305,0.86779661,299137.2384,35173910.48
4/30/2021,2008.474576,0.866949153,284548.1432,35458458.63
5/31/2021,1983.050847,0.866101695,270670.5665,35729129.19
6/30/2021,1957.627119,0.865254237,257469.8072,35986599
7/31/2021,1932.20339,0.86440678,244912.8565,36231511.86
8/31/2021,1906.779661,0.863559322,232968.3155,36464480.17
9/30/2021,1881.355932,0.862711864,221606.3167,36686086.49
10/31/2021,1855.932203,0.861864407,210798.4491,36896884.94
11/30/2021,1830.508475,0.861016949,200517.6874,37097402.63
12/31/2021,1805.084746,0.860169492,190738.3244,37288140.95
1/31/2022,1779.661017,0.859322034,181435.9066,37469576.86
2/28/2022,1754.237288,0.858474576,172587.173,37642164.03
3/31/2022,1728.813559,0.857627119,164169.9972,37806334.03
4/30/2022,1703.389831,0.856779661,156163.332,37962497.36
5/31/2022,1677.966102,0.855932203,148547.1564,38111044.52
6/30/2022,1652.542373,0.855084746,141302.4261,38252346.94
7/31/2022,1627.118644,0.854237288,134411.0255,38386757.97
8/31/2022,1601.694915,0.853389831,127855.7224,38514613.69
9/30/2022,1576.271186,0.852542373,121620.1253,38636233.81
10/31/2022,1550.847458,0.851694915,115688.6417,38751922.46
11/30/2022,1525.423729,0.850847458,110046.4401,38861968.9
12/31/2022,1500,0.85,104679.4119,38966648.31
